,Unnamed: 0,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
1027,1027,0.0,5,1.0,1.0,78757.0,1,3,5,1.0,2.0,2.0,3,200,200.00 ,100.0,27,57,87,87,2,90.0,0,3,0,0
1028,1028,0.0,4,1.0,1.0,78757.0,1,3,2,1.0,1.0,1.0,2,95,,25.0,18,48,78,353,22,89.0,0,2,0,0
1029,1029,1.0,4,1.0,1.0,78757.0,0,3,6,2.0,2.0,2.0,3,175,200.00 ,50.0,16,46,76,76,11,98.0,0,2,0,0
1030,1030,1.0,5,1.0,1.0,78757.0,1,3,6,1.0,2.0,2.0,3,99,250.00 ,90.0,0,0,12,102,13,98.0,0,2,0,0
1031,1031,0.0,6,1.0,0.0,78752.0,1,1,1,1.0,1.0,1.0,3,23,,15.0,19,49,79,79,0,,0,2,0,0
1032,1032,1.0,5,1.0,1.0,78757.0,0,3,6,3.0,4.0,3.0,3,415,"1,500.00 ",90.0,19,49,79,354,16,100.0,0,3,0,0
1033,1033,0.0,5,1.0,1.0,78757.0,1,3,4,2.0,2.0,2.0,3,195,,115.0,29,59,89,364,1,100.0,0,3,0,0
1034,1034,0.0,4,1.0,1.0,78757.0,1,3,6,2.0,2.0,2.0,3,80,300.00 ,125.0,0,26,56,331,9,98.0,1,3,0,0
1035,1035,0.0,3,1.0,0.0,78757.0,0,3,6,2.0,3.0,3.0,3,515,500.00 ,75.0,30,60,90,365,2,100.0,0,3,0,0
1036,1036,0.0,4,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,59,,,30,60,90,365,0,,0,1,0,0
1037,1037,0.0,2,1.0,0.0,78757.0,1,3,7,2.0,3.0,3.0,3,165,300.00 ,125.0,9,12,12,12,7,97.0,1,2,0,0
1038,1038,1.0,4,1.0,1.0,78757.0,1,3,8,2.0,4.0,6.0,3,179,250.00 ,115.0,18,40,63,333,42,99.0,0,3,1,1
1039,1039,1.0,4,1.0,0.0,78757.0,1,3,2,1.0,1.0,1.0,3,150,,,24,44,68,343,12,100.0,0,3,0,0
1040,1040,0.0,3,1.0,0.0,78757.0,1,3,3,1.0,1.0,1.0,2,200,,,0,0,0,0,2,90.0,1,2,0,0
1041,1041,1.0,4,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,35,100.00 ,35.0,6,26,44,44,17,98.0,0,2,0,0
1042,1042,1.0,5,1.0,1.0,78757.0,1,3,4,1.0,2.0,3.0,2,84,,34.0,0,0,0,0,10,94.0,0,1,0,0
1043,1043,0.0,2,1.0,0.0,78757.0,0,2,1,1.0,1.0,1.0,3,60,,10.0,30,60,90,365,0,,0,1,0,0
1044,1044,0.0,4,1.0,0.0,78757.0,1,3,2,1.0,1.0,1.0,3,95,,,0,0,0,249,0,,0,1,0,0
1045,1045,0.0,4,1.0,1.0,78757.0,1,3,6,2.5,3.0,2.0,3,140,250.00 ,100.0,6,6,6,128,10,100.0,0,2,0,0
1046,1046,0.0,3,1.0,0.0,78757.0,1,2,2,1.0,1.0,1.0,3,99,,,30,60,90,365,0,,0,1,0,0
1047,1047,1.0,4,1.0,1.0,78757.0,1,3,6,2.5,3.0,3.0,3,339,,135.0,20,50,78,353,0,,0,3,0,0
1048,1048,0.0,4,1.0,1.0,78757.0,1,3,5,2.0,2.0,2.0,3,125,450.00 ,170.0,13,29,53,328,4,100.0,0,3,0,0
1049,1049,1.0,4,1.0,1.0,78757.0,1,3,5,1.0,2.0,3.0,3,99,250.00 ,87.0,0,6,36,311,16,94.0,0,3,1,1
1050,1050,0.0,5,1.0,1.0,,0,3,3,1.0,1.0,1.0,3,75,200.00 ,35.0,17,43,73,100,11,100.0,0,2,0,0
1051,1051,0.0,4,1.0,1.0,78757.0,1,3,2,1.0,1.0,2.0,3,45,,50.0,2,29,36,186,5,96.0,0,3,0,0
1052,1052,0.0,4,1.0,1.0,78757.0,1,3,9,2.0,3.0,4.0,3,525,"1,400.00 ",150.0,30,60,90,365,2,100.0,0,2,0,0
1053,1053,0.0,4,1.0,1.0,78757.0,1,3,4,1.0,2.0,2.0,3,73,,100.0,8,37,48,202,27,98.0,0,3,0,0
1054,1054,0.0,4,1.0,0.0,78757.0,1,3,8,2.0,3.0,2.0,3,750,"1,000.00 ",100.0,30,60,90,365,1,86.0,0,3,1,1
1055,1055,1.0,4,1.0,1.0,78757.0,1,3,5,1.0,3.0,3.0,3,425,,,15,45,75,165,0,,1,1,0,0
1056,1056,0.0,4,1.0,1.0,78757.0,1,3,6,1.0,2.0,3.0,3,210,350.00 ,100.0,10,24,54,144,4,100.0,0,3,0,0
1057,1057,1.0,4,1.0,1.0,78757.0,1,3,8,2.0,4.0,6.0,3,199,250.00 ,115.0,11,28,45,316,33,97.0,0,3,1,1
1058,1058,0.0,4,1.0,1.0,78757.0,1,3,10,2.0,3.0,3.0,3,99,,20.0,0,0,0,0,9,95.0,1,2,0,0
1059,1059,1.0,4,1.0,1.0,78757.0,1,3,5,1.0,2.0,2.0,3,179,,115.0,7,25,53,324,0,,0,3,0,0
1060,1060,1.0,4,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,36,100.00 ,35.0,2,2,29,29,14,97.0,0,2,0,0
1061,1061,0.0,3,1.0,0.0,78757.0,1,2,2,2.0,1.0,1.0,3,65,,,30,60,90,365,0,,0,1,0,0
1062,1062,0.0,1,1.0,0.0,78757.0,1,2,2,1.0,1.0,1.0,3,99,100.00 ,,22,43,73,73,0,,0,3,0,0
1063,1063,1.0,4,1.0,1.0,78757.0,1,3,2,1.0,1.0,1.0,2,85,100.00 ,25.0,0,17,47,47,17,98.0,0,2,0,0
1064,1064,0.0,4,1.0,1.0,78757.0,1,3,2,1.0,0.0,1.0,3,85,300.00 ,45.0,0,0,5,280,14,97.0,0,3,0,0
1065,1065,0.0,4,1.0,0.0,78757.0,1,3,6,2.0,2.0,2.0,3,250,,100.0,25,46,59,59,3,100.0,1,1,0,0
1066,1066,0.0,4,1.0,1.0,78757.0,1,1,1,1.0,1.0,1.0,3,75,350.00 ,25.0,22,52,82,357,1,100.0,0,2,0,0
1067,1067,1.0,4,1.0,1.0,78757.0,1,3,8,2.0,3.0,5.0,3,159,200.00 ,115.0,8,23,49,324,11,100.0,0,3,1,1
1068,1068,0.0,4,1.0,1.0,78757.0,1,3,6,2.0,3.0,4.0,3,225,,,19,49,73,162,5,96.0,0,3,0,0
1069,1069,0.0,4,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,90,,,7,37,67,342,3,93.0,1,3,0,0
1070,1070,0.0,5,1.0,1.0,78757.0,1,3,4,1.0,2.0,2.0,3,250,,,6,10,39,128,1,100.0,1,2,0,0
1071,1071,0.0,4,1.0,1.0,78757.0,1,3,6,2.0,2.0,3.0,3,225,,50.0,1,1,25,25,0,,1,1,0,0
1072,1072,0.0,3,1.0,0.0,78757.0,1,3,8,2.0,3.0,3.0,3,149,,,29,58,88,363,1,100.0,1,2,0,0
1073,1073,0.0,5,1.0,1.0,78757.0,1,3,4,1.0,1.0,2.0,3,249,100.00 ,,30,60,90,365,1,100.0,0,1,0,0
1074,1074,1.0,3,1.0,0.0,78757.0,0,3,3,1.0,1.0,2.0,2,125,150.00 ,30.0,13,43,69,344,54,98.0,0,3,0,0
